timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680193012477,1814,HTTP Request-0,301,Moved Permanently,newuser 1-66,,true,,896,118,318,318,https://www.rokomari.com/,1462,0,1384
1680193014291,16807,HTTP Request-1,200,OK,newuser 1-66,text,true,,164225,122,318,318,https://www.rokomari.com/book,148,0,0
1680193012968,18172,HTTP Request,200,OK,newuser 1-219,text,true,,165132,240,317,317,https://www.rokomari.com/book,1053,0,969
1680193012968,1188,HTTP Request-0,301,Moved Permanently,newuser 1-219,,true,,900,118,317,317,https://www.rokomari.com/,1053,0,969
1680193014176,16964,HTTP Request-1,200,OK,newuser 1-219,text,true,,164232,122,317,317,https://www.rokomari.com/book,100,0,0
1680193012936,18210,HTTP Request,200,OK,newuser 1-210,text,true,,165133,240,316,316,https://www.rokomari.com/book,3760,0,3641
1680193012936,3760,HTTP Request-0,301,Moved Permanently,newuser 1-210,,true,,898,118,316,316,https://www.rokomari.com/,3760,0,3641
1680193016696,14450,HTTP Request-1,200,OK,newuser 1-210,text,true,,164235,122,316,316,https://www.rokomari.com/book,408,0,0
1680193013416,17758,HTTP Request,200,OK,newuser 1-247,text,true,,165123,240,315,315,https://www.rokomari.com/book,489,0,406
1680193013416,999,HTTP Request-0,301,Moved Permanently,newuser 1-247,,true,,902,118,315,315,https://www.rokomari.com/,489,0,406
1680193014415,16759,HTTP Request-1,200,OK,newuser 1-247,text,true,,164221,122,315,315,https://www.rokomari.com/book,175,0,0
1680193013650,17683,HTTP Request,200,OK,newuser 1-320,text,true,,165131,240,314,314,https://www.rokomari.com/book,653,0,553
1680193013650,653,HTTP Request-0,301,Moved Permanently,newuser 1-320,,true,,902,118,314,314,https://www.rokomari.com/,653,0,553
1680193014303,17030,HTTP Request-1,200,OK,newuser 1-320,text,true,,164229,122,314,314,https://www.rokomari.com/book,142,0,0
1680193015001,16357,HTTP Request,200,OK,newuser 1-429,text,true,,165119,240,313,313,https://www.rokomari.com/book,15608,0,15503
1680193015001,15608,HTTP Request-0,301,Moved Permanently,newuser 1-429,,true,,896,118,313,313,https://www.rokomari.com/,15608,0,15503
1680193030610,748,HTTP Request-1,200,OK,newuser 1-429,text,true,,164223,122,313,313,https://www.rokomari.com/book,107,0,0
1680193014650,16805,HTTP Request,200,OK,newuser 1-474,text,true,,165132,240,312,312,https://www.rokomari.com/book,926,0,532
1680193014650,926,HTTP Request-0,301,Moved Permanently,newuser 1-474,,true,,904,118,312,312,https://www.rokomari.com/,926,0,532
1680193015576,15879,HTTP Request-1,200,OK,newuser 1-474,text,true,,164228,122,312,312,https://www.rokomari.com/book,144,0,0
1680193013544,17922,HTTP Request,200,OK,newuser 1-258,text,true,,165128,240,311,311,https://www.rokomari.com/book,16457,0,5374
1680193013544,16457,HTTP Request-0,301,Moved Permanently,newuser 1-258,,true,,898,118,311,311,https://www.rokomari.com/,16457,0,5374
1680193030002,1464,HTTP Request-1,200,OK,newuser 1-258,text,true,,164230,122,311,311,https://www.rokomari.com/book,177,0,0
1680193013714,17808,HTTP Request,200,OK,newuser 1-384,text,true,,165127,240,310,310,https://www.rokomari.com/book,2857,0,2741
1680193013714,2857,HTTP Request-0,301,Moved Permanently,newuser 1-384,,true,,906,118,310,310,https://www.rokomari.com/,2857,0,2741
1680193016571,14951,HTTP Request-1,200,OK,newuser 1-384,text,true,,164221,122,310,310,https://www.rokomari.com/book,156,0,0
1680193014665,16871,HTTP Request,200,OK,newuser 1-490,text,true,,165133,240,309,309,https://www.rokomari.com/book,15146,0,7388
1680193014665,15146,HTTP Request-0,301,Moved Permanently,newuser 1-490,,true,,904,118,309,309,https://www.rokomari.com/,15146,0,7388
1680193029813,1723,HTTP Request-1,200,OK,newuser 1-490,text,true,,164229,122,309,309,https://www.rokomari.com/book,152,0,0
1680193014091,17454,HTTP Request,200,OK,newuser 1-329,text,true,,165131,240,308,308,https://www.rokomari.com/book,2727,0,2627
1680193014091,2727,HTTP Request-0,301,Moved Permanently,newuser 1-329,,true,,902,118,308,308,https://www.rokomari.com/,2727,0,2627
1680193016818,14727,HTTP Request-1,200,OK,newuser 1-329,text,true,,164229,122,308,308,https://www.rokomari.com/book,156,0,0
1680193013539,18010,HTTP Request,200,OK,newuser 1-257,text,true,,165129,240,307,307,https://www.rokomari.com/book,3898,0,2646
1680193013539,3898,HTTP Request-0,301,Moved Permanently,newuser 1-257,,true,,898,118,307,307,https://www.rokomari.com/,3898,0,2646
1680193017438,14111,HTTP Request-1,200,OK,newuser 1-257,text,true,,164231,122,307,307,https://www.rokomari.com/book,115,0,0
1680193013691,17899,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.rokomari.com:443 failed to respond,newuser 1-375,text,false,,2098,0,306,306,https://www.rokomari.com/,0,0,17898
1680193013732,17904,HTTP Request,200,OK,newuser 1-393,text,true,,165127,240,305,305,https://www.rokomari.com/book,3369,0,2405
1680193013732,3369,HTTP Request-0,301,Moved Permanently,newuser 1-393,,true,,898,118,305,305,https://www.rokomari.com/,3369,0,2405
1680193017101,14535,HTTP Request-1,200,OK,newuser 1-393,text,true,,164229,122,305,305,https://www.rokomari.com/book,405,0,0
1680193013710,18027,HTTP Request,200,OK,newuser 1-392,text,true,,165127,240,304,304,https://www.rokomari.com/book,5213,0,5103
1680193013710,5213,HTTP Request-0,301,Moved Permanently,newuser 1-392,,true,,902,118,304,304,https://www.rokomari.com/,5213,0,5103
1680193018923,12814,HTTP Request-1,200,OK,newuser 1-392,text,true,,164225,122,304,304,https://www.rokomari.com/book,865,0,0
1680193012683,19136,HTTP Request,200,OK,newuser 1-134,text,true,,165130,240,303,303,https://www.rokomari.com/book,4314,0,3931
1680193012683,4314,HTTP Request-0,301,Moved Permanently,newuser 1-134,,true,,900,118,303,303,https://www.rokomari.com/,4314,0,3931
1680193016997,14822,HTTP Request-1,200,OK,newuser 1-134,text,true,,164230,122,303,303,https://www.rokomari.com/book,108,0,0
1680193013001,18992,HTTP Request,200,OK,newuser 1-224,text,true,,165121,240,302,302,https://www.rokomari.com/book,16846,0,5903
1680193013001,16846,HTTP Request-0,301,Moved Permanently,newuser 1-224,,true,,898,118,302,302,https://www.rokomari.com/,16846,0,5903
1680193029848,2145,HTTP Request-1,200,OK,newuser 1-224,text,true,,164223,122,302,302,https://www.rokomari.com/book,124,0,0
1680193013618,18391,HTTP Request,200,OK,newuser 1-298,text,true,,165125,240,301,301,https://www.rokomari.com/book,2897,0,1629
1680193013618,2897,HTTP Request-0,301,Moved Permanently,newuser 1-298,,true,,902,118,301,301,https://www.rokomari.com/,2897,0,1629
1680193016515,15494,HTTP Request-1,200,OK,newuser 1-298,text,true,,164223,122,301,301,https://www.rokomari.com/book,382,0,0
1680193012433,19679,HTTP Request,200,OK,newuser 1-26,text,true,,165120,240,300,300,https://www.rokomari.com/book,4311,0,3937
1680193012433,4311,HTTP Request-0,301,Moved Permanently,newuser 1-26,,true,,896,118,300,300,https://www.rokomari.com/,4311,0,3937
1680193016744,15368,HTTP Request-1,200,OK,newuser 1-26,text,true,,164224,122,300,300,https://www.rokomari.com/book,121,0,0
